user_id	candidate_overlap	sequence_top10_overlap	pcrf_top10_overlap	cached_baseline_rank	fresh_baseline_rank	cached_pcrf_rank	fresh_pcrf_rank
AG5942NI7JAH1	1.0	1.0	1.0	51	51	51	51
A1M1ZZCMOH111Y	1.0	1.0	1.0	51	51	51	51
A2UAS6OGCR8IUG	1.0	1.0	1.0	51	51	51	51
A2N7UANAFQ9L5C	1.0	1.0	1.0	51	51	51	51
A11QM8IY2QS1F5	1.0	1.0	1.0	51	51	51	51
AQJUB96Y7X59A	1.0	1.0	1.0	51	51	51	51
A18MG1GPSEAPE9	1.0	1.0	1.0	51	51	51	51
A24E9EHRGDOGV3	1.0	1.0	1.0	37	37	43	43
A2EUFP0JRNT89E	1.0	1.0	1.0	51	51	51	51
A3CLWZGMC7M9Z1	1.0	1.0	1.0	28	28	20	20
A3NN6Q0D6TK11U	1.0	1.0	1.0	7	7	7	7
A34VCCL1YO6D0I	1.0	1.0	1.0	51	51	51	51
A1PLGH5DGHFVVY	1.0	1.0	1.0	51	51	51	51
A2PZJI7YONY2A1	1.0	1.0	1.0	1	1	1	1
A1P6QSZJY5OBY7	1.0	1.0	1.0	51	51	51	51
A2I02MYK9NI73B	1.0	1.0	1.0	51	51	51	51
A2T5VFMUGVV1XG	1.0	1.0	1.0	51	51	51	51
A2ASMPDV3AH0QT	1.0	1.0	1.0	51	51	51	51
A2WZBKDNVBMLWZ	1.0	1.0	1.0	1	1	1	1
APP8XWYYV4PAA	1.0	1.0	1.0	51	51	51	51
A19VQ5NIFBUJSV	1.0	1.0	1.0	3	3	2	2
A3F69LY1QJ7I5Y	1.0	1.0	1.0	51	51	51	51
AGFGY4EJ37VS2	1.0	1.0	1.0	34	34	29	29
A3O4UFT4RQO7AN	1.0	1.0	1.0	51	51	51	51
A2D3Z8IGW9RJ4K	1.0	1.0	1.0	51	51	51	51
ATL2EJGS0OD8S	1.0	1.0	1.0	5	5	10	10
A3ESTWDBNOUJQ7	1.0	1.0	1.0	51	51	51	51
A108CA8X6ZYE9W	1.0	1.0	1.0	51	51	51	51
A1J5FNJLW42BL8	1.0	1.0	1.0	51	51	51	51
A39O1RWSVIB6TK	1.0	1.0	1.0	51	51	51	51
AQW0X2731G6ZB	1.0	1.0	1.0	18	18	33	33
A35OBVCKDNYUR3	1.0	1.0	1.0	4	4	7	7
ABD7HPJOBC8BJ	1.0	1.0	1.0	3	3	6	6
A3PJNHE80BQNFU	1.0	1.0	1.0	51	51	51	51
A1DSCPT3MY8NSX	1.0	1.0	1.0	8	8	3	3
A1ISA41C4A03SG	1.0	1.0	1.0	18	18	16	16
A7A31MX1R7DUD	1.0	1.0	1.0	51	51	51	51
A2O2822VQN2HFG	1.0	1.0	1.0	51	51	51	51
A3N2SK11B25XZK	1.0	1.0	1.0	51	51	51	51
A2XCL1L7FCSOO7	1.0	1.0	1.0	51	51	51	51
A2771ZD14NJVS	1.0	1.0	1.0	2	2	1	1
A2YQ24IJEVF3PV	1.0	1.0	1.0	51	51	51	51
A1AOG5U92RH6GC	1.0	1.0	1.0	51	51	51	51
A3L17RRL053ZXH	1.0	1.0	1.0	3	3	10	10
A53YP4DF1EJES	1.0	1.0	1.0	2	2	2	2
AQNDWV4YMTBZF	1.0	1.0	1.0	51	51	51	51
A5QSI9MNS8NMS	1.0	1.0	1.0	1	1	4	4
AXK8UKPSYESNP	1.0	1.0	1.0	51	51	51	51
A33Q2O6FQK65EK	1.0	1.0	1.0	17	17	15	15
A1BK60GZ4QME6I	1.0	1.0	1.0	51	51	51	51
AG8QJ2NED5GWJ	1.0	1.0	1.0	51	51	51	51
AO645B6SU6DZV	1.0	1.0	1.0	51	51	51	51
A19ZCPGGWOV4UQ	1.0	1.0	1.0	1	1	2	2
A1SFZS2ICCJSZ8	1.0	1.0	1.0	1	1	1	1
A2YQJDUIIPPFI4	1.0	1.0	1.0	51	51	51	51
A3BXJF4URL95RT	1.0	1.0	1.0	51	51	51	51
A2YSWNMW4E78GF	1.0	1.0	1.0	51	51	51	51
A2RFN9B7U7DGK1	1.0	1.0	1.0	51	51	51	51
A1PNLJSZ37FAUU	1.0	1.0	1.0	51	51	51	51
A1ZYH2WG49X7M7	1.0	1.0	1.0	51	51	51	51
A3MKRAD7Z64ED5	1.0	1.0	1.0	51	51	51	51
A3JYY8RLJNC56V	1.0	1.0	1.0	51	51	51	51
AN49G1NJDOT94	1.0	1.0	1.0	51	51	51	51
A2Z8ZFM4SGCTYL	1.0	1.0	1.0	33	33	31	31
A1TOY72HWC2ASA	1.0	1.0	1.0	51	51	51	51
A2XU46XXNV19C8	1.0	1.0	1.0	51	51	51	51
A1ZO9OBHLID7KM	1.0	1.0	1.0	51	51	51	51
A1J1MTCRIMX37I	1.0	1.0	1.0	51	51	51	51
A3LG1IJ7UV79GR	1.0	1.0	1.0	51	51	51	51
A1TWTL2KY2WUDW	1.0	1.0	1.0	51	51	51	51
A1C157FRUD6JXH	1.0	1.0	1.0	51	51	51	51
A1NSBJCDO3YDP2	1.0	1.0	1.0	51	51	51	51
A3HORVSI2I23YR	1.0	1.0	1.0	51	51	51	51
AOQZPFEVL2D9Y	1.0	1.0	1.0	16	16	15	15
A30PGMDIGWO7M4	1.0	1.0	1.0	51	51	51	51
A1Y1VKNAJOCD1G	1.0	1.0	1.0	51	51	51	51
A1W3BJBH2E48IN	1.0	1.0	1.0	9	9	15	15
A2MBLVMVDLHK1L	1.0	1.0	1.0	51	51	51	51
A3OU3VMKHM5T7L	1.0	1.0	1.0	51	51	51	51
ANBVYCAEPWHY3	1.0	1.0	1.0	51	51	51	51
AQ2UUK379POFL	1.0	1.0	1.0	51	51	51	51
A1YGF9FFKQEB9N	1.0	1.0	1.0	51	51	51	51
A354HWCO3WW4AK	1.0	1.0	1.0	51	51	51	51
A2L6G6CCWWP5IV	1.0	1.0	1.0	51	51	51	51
A14V45OKTF6U6Q	1.0	1.0	1.0	51	51	51	51
A3UE1PURTS8PG	1.0	1.0	1.0	2	2	1	1
A3ZZFPQLNHTLB	1.0	1.0	1.0	51	51	51	51
A14C65X2PJPQMT	1.0	1.0	1.0	2	2	2	2
A7Y0MEKYZS3X6	1.0	1.0	1.0	51	51	51	51
A9J3LMY955WKJ	1.0	1.0	1.0	51	51	51	51
A2HWZZM6D6Q4YQ	1.0	1.0	1.0	51	51	51	51
A3KWRC15OXO3EZ	1.0	1.0	1.0	3	3	2	2
A3F43PAJZLOE3I	1.0	1.0	1.0	51	51	51	51
A39CCZM9M9H3HX	1.0	1.0	1.0	51	51	51	51
A16UYT4DEUXBA5	1.0	1.0	1.0	51	51	51	51
A2Y2OW2CR3WMRK	1.0	1.0	1.0	1	1	1	1
A1C8BEFG26LC3V	1.0	1.0	1.0	51	51	51	51
A5HHOCI5LTAWB	1.0	1.0	1.0	51	51	51	51
A38167RWGZR8AE	1.0	1.0	1.0	51	51	51	51
A32J5J2J2UTCR	1.0	1.0	1.0	51	51	51	51
ASFRULWDRQCUO	1.0	1.0	1.0	51	51	51	51
A2974R9BTPZPOJ	1.0	1.0	1.0	51	51	51	51
A3IUMV0T5KAQMD	1.0	1.0	1.0	51	51	51	51
AZCVUV657V5XG	1.0	1.0	1.0	51	51	51	51
